Date,Price,Open,High,Low,Vol.,Change %
30-Jul-19,95.2,95.5,95.6,95,72.84K,-0.31%
31-Jul-19,93.45,95.2,95.2,92.9,752.63K,-1.84%
1-Aug-19,93.5,93.4,94,93.15,280.50K,0.05%
2-Aug-19,93.4,94,94,93,91.58K,-0.11%
5-Aug-19,91.5,93.4,93.4,89.5,375.27K,-2.03%
6-Aug-19,89.5,91.5,91.5,86.65,523.73K,-2.19%
7-Aug-19,90.5,89.5,91.2,89.5,57.11K,1.12%
8-Aug-19,92.25,90.5,93.9,90.5,141.82K,1.93%
9-Aug-19,92.5,92.5,93.9,92,238.35K,0.27%
13-Aug-19,91,92.8,93.9,89.5,372.35K,-1.62%
14-Aug-19,91.65,91.1,92.45,91.1,380.66K,0.71%
15-Aug-19,93,91,93,89,357.09K,1.47%
16-Aug-19,93.5,93,94.5,91.7,316.73K,0.54%
19-Aug-19,95.45,93.5,95.45,93.45,214.13K,2.09%
20-Aug-19,95.6,95.5,95.9,95.45,333.64K,0.16%
22-Aug-19,95.9,95.65,95.9,95.5,142.84K,0.31%
23-Aug-19,96.25,95.5,96.9,94.8,407.73K,0.36%
27-Aug-19,94,96.25,96.25,93,473.20K,-2.34%
28-Aug-19,95.1,94,95.95,94,97.40K,1.17%
29-Aug-19,95.5,95.1,95.95,95,64.17K,0.42%
30-Aug-19,98,96.8,98.9,96.8,866.73K,2.62%
2-Sep-19,96.25,98.1,98.6,96.25,49.58K,-1.79%
3-Sep-19,96,96.25,96.3,94,140.52K,-0.26%
4-Sep-19,97.8,96,97.8,95.95,84.56K,1.88%
5-Sep-19,94.8,97,97.8,94.2,122.49K,-3.07%
6-Sep-19,95,94.9,95.35,94,141.71K,0.21%
9-Sep-19,94.35,95,97,94,46.09K,-0.68%
10-Sep-19,94,94.35,94.4,93.05,154.14K,-0.37%
11-Sep-19,94,93.5,94.6,93.5,54.21K,0.00%
12-Sep-19,94,94.5,95,94,14.36K,0.00%
13-Sep-19,94.7,95,96.45,94.2,97.73K,0.74%
16-Sep-19,91.5,93.5,93.5,89.2,536.56K,-3.38%
17-Sep-19,91.2,91.5,91.5,91.05,194.06K,-0.33%
18-Sep-19,90.7,91.3,92.9,90.7,72.92K,-0.55%
19-Sep-19,91.65,90.9,92.4,90.9,13.91K,1.05%
20-Sep-19,94,91.65,94,91.5,110.67K,2.56%
23-Sep-19,92.9,94,94.2,91.2,14.34K,-1.17%
24-Sep-19,92.6,92.9,93,91.6,84.91K,-0.32%
25-Sep-19,91.95,92.6,92.6,91.6,105.50K,-0.70%
26-Sep-19,92.45,92.35,94.6,92.35,150.35K,0.54%
27-Sep-19,93,92.45,93.6,92.25,152.50K,0.59%
30-Sep-19,90,92.55,93,90,92.68K,-3.23%
1-Oct-19,89.7,92.5,92.5,89,190.52K,-0.33%
2-Oct-19,89.95,89.6,91.95,89.6,84.70K,0.28%
3-Oct-19,90,89.5,91,89.5,42.93K,0.06%
4-Oct-19,91.1,92.3,92.3,91.1,24.31K,1.22%
7-Oct-19,91.5,91.1,91.5,91.1,14.86K,0.44%
8-Oct-19,91.6,92,92.5,91.5,53.62K,0.11%
9-Oct-19,91.7,91.75,92.45,91.55,35.05K,0.11%
10-Oct-19,92,91.75,92.3,91.7,88.87K,0.33%
11-Oct-19,92.2,92.3,92.4,91.85,134.83K,0.22%
14-Oct-19,94.45,92.5,95,92.35,366.41K,2.44%
15-Oct-19,94.5,95,95.1,94.5,363.91K,0.05%
16-Oct-19,96.45,95.1,96.8,94.75,584.94K,2.06%
17-Oct-19,97,96.45,97,96.2,472.88K,0.57%
18-Oct-19,92.7,97,97,92.7,664.72K,-4.43%
21-Oct-19,95.9,93,95.9,93,233.31K,3.45%
22-Oct-19,96,95,96.85,93.45,246.99K,0.10%
23-Oct-19,94.8,94.3,95.65,93.5,191.37K,-1.25%
24-Oct-19,93.5,94.1,95.7,93.5,112.65K,-1.37%
25-Oct-19,93.2,95,95,92.7,103.70K,-0.32%
28-Oct-19,93.8,93.2,94.45,93,22.02K,0.64%
29-Oct-19,93.2,93.2,93.7,93,62.29K,-0.64%
30-Oct-19,92.35,92.85,93.05,92,214.68K,-0.91%
31-Oct-19,92.35,92.3,92.7,92.2,10.51K,0.00%
4-Nov-19,95.3,92.4,95.5,92.35,148.74K,3.19%
5-Nov-19,96,95.3,96.8,95,247.09K,0.73%
6-Nov-19,96.15,96.7,96.7,95.5,118.04K,0.16%
7-Nov-19,95.8,96.15,96.15,95,100.98K,-0.36%
8-Nov-19,94.35,95,95,94,58.37K,-1.51%
11-Nov-19,96,94.35,96,94,45.29K,1.75%
12-Nov-19,94.9,96,96,94,16.66K,-1.15%
13-Nov-19,95,94.7,95.45,93.4,37.31K,0.11%
14-Nov-19,94.3,95.4,95.4,94.3,72.14K,-0.74%
15-Nov-19,91.95,94.3,94.3,91,162.25K,-2.49%
18-Nov-19,91,91.95,94.3,90.7,106.32K,-1.03%
19-Nov-19,91.8,91,91.95,90.7,39.53K,0.88%
20-Nov-19,94.4,91.8,95,91.1,31.63K,2.83%
21-Nov-19,91.2,94.4,94.4,91,40.19K,-3.39%
22-Nov-19,92,91.2,92.15,91,66.68K,0.88%
25-Nov-19,91.5,92.5,92.7,91.2,50.02K,-0.54%
26-Nov-19,92.8,91.5,92.8,91,97.56K,1.42%
27-Nov-19,92.1,92.8,93,91.2,123.00K,-0.75%
28-Nov-19,92.6,91.9,92.6,91.1,196.81K,0.54%
